,datetime,ip,name,latency,status
0,1582126779.579939,10.6.0.1,valve1sensor,19.577980041503906,1
1,1582126779.580268,10.6.0.2,valve2sensor,19.399166107177734,1
2,1582126779.580528,10.6.0.2,pump2sensor,18.739938735961914,1
3,1582126779.580838,10.6.0.1,pump1sensor,20.740985870361328,1
4,1582126779.581127,10.6.0.1,reservoirsensor,21.681785583496094,1
5,1582126780.594663,10.6.0.1,pump1sensor,11.582136154174805,1
6,1582126780.595125,10.6.0.1,valve1sensor,12.974977493286133,1
7,1582126780.595709,10.6.0.2,pump2sensor,12.367963790893555,1
8,1582126780.596436,10.6.0.2,valve2sensor,14.65296745300293,1
9,1582126780.597938,10.6.0.1,reservoirsensor,15.14291763305664,1
10,1582126781.610272,10.6.0.1,valve1sensor,13.612985610961914,1
11,1582126781.612335,10.6.0.2,pump2sensor,14.729022979736328,1
12,1582126781.612946,10.6.0.2,valve2sensor,14.873027801513672,1
13,1582126781.617238,10.6.0.1,reservoirsensor,17.711877822875977,1
14,1582126781.831055,10.6.0.1,pump1sensor,234.67493057250977,1
15,1582126782.566584,10.7.0.3,valve3sensor,3004.2130947113037,-2
16,1582126782.567492,10.7.0.3,pump3sensor,3004.771947860718,-2
17,1582126782.567679,10.7.0.3,municipaltanksensor,3004.4729709625244,-2
18,1582126782.568317,10.7.0.4,chlorinevalvesensor,3004.063129425049,-2
19,1582126782.568442,10.7.0.4,chlorinetanksensor,3004.6310424804688,-2
20,1582126782.569043,10.7.0.4,chlorinatorsensor,3003.6001205444336,-2
21,1582126782.569653,10.7.0.4,chlorinepumpsensor,3003.9849281311035,-2
22,1582126782.622359,10.6.0.1,valve1sensor,10.824918746948242,1
23,1582126782.625529,10.6.0.2,pump2sensor,11.744976043701172,1
24,1582126782.626492,10.6.0.2,valve2sensor,13.068914413452148,1
25,1582126782.629805,10.6.0.1,reservoirsensor,11.343002319335938,1
26,1582126782.841806,10.6.0.1,pump1sensor,9.113073348999023,1
27,1582126783.079332,10.7.0.3,valve3sensor,3516.947031021118,1
28,1582126783.083713,10.7.0.3,municipaltanksensor,3520.508050918579,1
29,1582126783.084119,10.7.0.3,pump3sensor,3521.3990211486816,1
30,1582126783.086963,10.7.0.4,chlorinevalvesensor,3522.7091312408447,1
31,1582126783.087328,10.7.0.4,chlorinetanksensor,3523.5180854797363,1
32,1582126783.088275,10.7.0.4,chlorinatorsensor,3522.8331089019775,1
33,1582126783.089254,10.7.0.4,chlorinepumpsensor,3523.5860347747803,1
34,1582126783.635642,10.6.0.1,valve1sensor,12.01486587524414,1
35,1582126783.63691,10.6.0.2,pump2sensor,10.194063186645508,1
36,1582126783.637446,10.6.0.2,valve2sensor,9.571075439453125,1
37,1582126783.641121,10.6.0.1,reservoirsensor,10.160207748413086,1
38,1582126783.852373,10.6.0.1,pump1sensor,9.35506820678711,1
39,1582126784.093614,10.7.0.3,valve3sensor,12.633085250854492,1
40,1582126784.096292,10.7.0.3,pump3sensor,10.840892791748047,1
41,1582126784.096639,10.7.0.3,municipaltanksensor,11.653900146484375,1
42,1582126784.100764,10.7.0.4,chlorinetanksensor,12.209892272949219,1
43,1582126784.101791,10.7.0.4,chlorinevalvesensor,13.62299919128418,1
44,1582126784.104913,10.7.0.4,chlorinatorsensor,15.070915222167969,1
45,1582126784.331367,10.7.0.4,chlorinepumpsensor,240.77796936035156,1
46,1582126784.647493,10.6.0.2,valve2sensor,9.182929992675781,1
